state,city,year,population,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,non_violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
NM,Albuquerque,2012,553684,4151,41,278,1092,2740,59436,29718,6677,20298,2743
LA,Alexandria,2012,48449,815,9,14,142,650,7260,3630,974,2472,184
PA-NJ,Allentown PA1,2012,119334,653,15,54,374,210,9206,4603,1248,2987,368
PA-NJ,Bethlehem,2012,75388,238,2,19,121,96,3896,1948,377,1488,83
PA,Altoo,2012,46404,163,2,31,32,98,1806,903,226,641,36
TX,Amarillo,2012,196576,1278,10,110,278,880,17800,8900,2087,6184,629
IA,Ames,2012,59271,78,0,32,7,39,2908,1454,291,1132,31
AK,Anchorage,2012,299143,2479,15,303,488,1673,21086,10543,1158,8554,831
MI,Ann Arbor,2012,115008,227,1,35,50,141,5452,2726,714,1898,114
AL,Anniston,2012,23051,504,5,14,92,393,4968,2484,912,1501,71
AL,Oxford,2012,17170,62,1,7,23,31,2014,1007,179,791,37
AL,Jacksonville,2012,12532,43,0,1,11,31,968,484,138,327,19
WI,Appleton,2012,73431,213,0,28,22,163,2784,1392,254,1111,27
NC,Asheville,2012,85295,423,6,33,141,243,9820,4910,742,3832,336
GA,Athens-Clarke County,2012,117457,455,5,48,158,244,9202,4601,1149,3210,242
GA,Gwinnett,2012,,,,,,,0,,,,
GA,Atlanta,2012,437041,6027,83,113,2276,3555,57108,28554,6192,17212,5150
GA,Sandy Springs,2012,97890,187,3,5,98,81,5500,2750,709,1871,170
GA,Roswell,2012,92141,132,1,7,63,61,3442,1721,399,1228,94
GA,Alpharetta,2012,60031,42,1,6,18,17,2460,1230,127,1076,27
GA,Marietta,2012,57969,474,1,12,132,329,5096,2548,496,1865,187
NJ,Atlantic City,2012,39722,699,19,35,322,323,4906,2453,481,1884,88
NJ,Hammonton,2012,14852,15,0,0,1,14,372,186,60,118,8
AL,Auburn,2012,54785,132,3,13,25,91,3838,1919,418,1450,51
AL,Opelika,2012,27201,207,5,11,43,148,3362,1681,428,1204,49
TX,Austin,2012,832901,3405,31,209,978,2187,86944,43472,7244,33913,2315
TX,Round Rock,2012,106232,141,0,32,45,64,5272,2636,336,2222,78
CA,Bakersfield,2012,355696,1929,34,57,697,1141,35508,17754,4994,9540,3220
MD,Baltimore,2012,625474,8789,218,315,3605,4651,58298,29149,7770,17397,3982
ME,Bangor,2012,33036,76,6,7,40,23,3684,1842,253,1543,46
MA,Barnstable,2012,45570,283,1,22,29,231,2538,1269,378,847,44
LA,Baton,2012,,,,,,,0,,,,
LA,Baton Rouge,2012,231500,2507,66,64,1033,1344,24118,12059,3826,7751,482
MI,Bay City,2012,34742,215,1,42,29,143,1582,791,199,553,39
TX,Beaumont,2012,120323,1242,13,76,408,745,11648,5824,1828,3717,279
TX,Port Arthur,2012,54745,344,4,19,121,200,4812,2406,854,1428,124
WV,Beckley,2012,17675,189,6,21,55,107,3176,1588,335,1221,32
WA,Bellingham,2012,82665,220,0,29,53,138,7950,3975,614,3223,138
MT,Billings,2012,106371,370,3,38,68,261,9624,4812,793,3608,411
NY,Binghamton1,2012,47250,315,3,15,81,216,4672,2336,558,1732,46
AL,Birmingham,2012,213266,3237,67,152,983,2035,29576,14788,4704,9042,1042
AL,Hoover,2012,82332,86,2,13,46,25,4360,2180,393,1702,85
ND,Bismarck,2012,64103,218,1,31,16,170,3890,1945,320,1522,103
VA,Blacksburg,2012,43070,39,0,12,11,16,950,475,80,377,18
VA,Christiansburg,2012,21262,30,0,7,4,19,1350,675,87,576,12
VA,Radford,2012,16595,78,1,9,9,59,914,457,102,336,19
IL,Bloomington,2012,77107,372,1,42,45,284,3594,1797,357,1396,44
IN,Bloomington,2012,81636,243,3,18,42,180,6488,3244,622,2471,151
PA,Bloomsburg Town,2012,15135,20,0,1,2,17,532,266,51,211,4
PA,Berwick,2012,10480,25,0,9,6,10,980,490,148,335,7
ID,Boise,2012,211569,567,1,75,64,427,10684,5342,913,4272,157
MA-NH,Boston,2012,630648,5266,57,249,1910,3050,36698,18349,3325,13400,1624
MA-NH,Cambridge,2012,106981,431,1,20,135,275,6182,3091,502,2482,107
MA-NH,Newton,2012,86710,76,0,5,17,54,1788,894,185,693,16
MA-NH,Framingham MA1,2012,69605,154,0,7,21,126,2476,1238,254,884,100
MA-NH,Waltham,2012,61725,146,0,12,24,110,1698,849,191,610,48
CO,Boulder,2012,100257,249,0,32,48,169,5874,2937,472,2337,128
KY,Bowling Green,2012,59043,189,4,36,75,74,6050,3025,547,2322,156
WA,Bremerton,2012,39434,230,1,38,44,147,4246,2123,444,1487,192
CT,Bridgeport,2012,146030,1760,22,388,606,744,10306,5153,1377,2908,868
CT,Stamford,2012,124201,351,5,25,145,176,3864,1932,290,1472,170
CT,Norwalk,2012,86693,272,3,9,68,192,3426,1713,250,1352,111
CT,Danbury,2012,81891,109,1,23,45,40,3124,1562,287,1201,74
CT,Stratford,2012,52041,104,0,15,28,61,2826,1413,245,1070,98
TX,Brownsville,2012,181102,473,3,38,125,307,16674,8337,1145,6986,206
